accelerometer_x,accelerometer_y,accelerometer_z,gest_name
-5.898,-9.891,-8.451,one
-5.443,-8.796,-6.087,one
-4.183,-5.038,-2.704,one
-3.566,-4.007,-2.665,one
-3.55,-3.852,-2.305,one
-3.221,-3.833,-2.297,one
-3.119,-3.538,-2.283,one
-2.69,-3.432,-2.232,one
-2.468,-2.312,-2.175,two
-2.271,-2.124,-1.805,two
-2.24,-2.097,-0.835,two
-2.122,-2.02,-0.646,two
-2.118,-1.652,-0.554,two
-2.109,-1.639,-0.447,two
-1.631,-0.881,-0.328,two
-1.556,-0.729,-0.259,two
-1.373,-0.405,0.759,two
-1.344,-0.392,0.844,two
-1.282,-0.211,2.003,two
-1.253,-0.171,2.221,two
-1.189,-0.144,2.403,two
-0.635,-0.135,2.917,two
-0.294,-0.132,3.703,three
-0.177,-0.13,3.885,three
-0.12,-0.13,4.091,three
-0.101,-0.129,5.059,three
-0.096,-0.126,5.163,three
-0.088,-0.126,5.474,three
-0.039,-0.126,6.141,three
-0.034,-0.125,6.375,three
-0.019,-0.122,6.439,three
-0.011,-0.122,6.662,three
-0.011,-0.12,6.698,three
-0.01,-0.12,7.052,three
-0.01,-0.119,7.059,three
-0.009,-0.119,7.215,three
-0.005,-0.118,7.261,three
-0.005,-0.118,7.321,three
-0.005,-0.117,7.676,three
-0.003,-0.116,8.001,three
0.002,-0.111,9.691,three
0.004,-0.111,9.74,three
0.004,-0.111,9.746,three
0.005,-0.108,9.747,three
0.005,-0.106,9.751,three
0.005,-0.104,9.753,three
0.005,-0.102,9.763,three
0.006,-0.099,9.763,three
0.006,-0.096,9.764,three
0.006,-0.095,9.77,three
0.009,-0.086,9.77,three
0.01,-0.083,9.771,three
0.01,-0.069,9.771,three
0.011,-0.064,9.773,three
0.012,-0.056,9.773,three
0.012,-0.043,9.774,three
0.015,-0.035,9.774,three
0.017,-0.027,9.775,three
0.018,0.057,9.776,three
0.02,0.659,9.776,three
0.023,0.718,9.776,four
0.023,0.995,9.777,four
0.026,1.04,9.778,four
0.027,1.072,9.778,four
0.028,1.11,9.783,four
0.032,1.196,9.783,four
0.032,1.418,9.784,four
0.034,1.434,9.784,four
0.119,1.64,9.784,four
0.697,1.641,9.788,four
0.793,1.765,9.79,four
0.87,2.298,9.792,four
1.135,2.485,9.793,four
1.171,2.775,9.794,four
1.272,2.834,9.795,four
1.535,2.848,9.795,four
1.946,2.983,9.795,four
1.954,3.086,9.795,four
2.03,3.087,9.798,four
2.204,3.208,9.801,five
2.219,3.533,9.807,five
2.228,3.542,9.808,five
2.572,3.559,9.81,five
2.773,3.561,9.817,five
2.829,3.61,9.856,five
3.182,3.617,9.934,five
3.248,3.673,10.113,five
3.532,3.819,10.23,five
3.827,3.84,10.489,five
4.05,4.27,10.512,five
4.394,4.278,10.629,five
4.59,4.333,10.7,five
5.097,4.378,10.951,five
5.358,4.548,11.023,five
5.82,4.549,11.487,five
6.099,4.549,11.577,five
6.223,4.639,12.173,five
7.812,5.576,12.399,five
8.302,6.625,12.485,five
9.9,6.76,13.276,five
11.284,7.101,13.571,five
12.066,7.228,13.583,five
12.813,7.251,13.724,five
13.826,7.447,13.747,five
14.645,9.356,13.916,five
15.644,9.675,18.15,five
17.396,10.787,23.001,five
