"accelerometer_x","accelerometer_y","accelerometer_z","gest_name"
"-5.897812","-9.891449","-8.451218","1"
"-5.4431763","-8.795532","-6.0871124","1"
"-4.1833496","-5.037613","-2.703659","1"
"-3.5660095","-4.007492","-2.6653748","1"
"-3.5504608","-3.8519592","-2.3052673","1"
"-3.2214355","-3.8328247","-2.2968903","1"
"-3.1185455","-3.538498","-2.2825317","1"
"-2.6902313","-3.432022","-2.2322845","1"
"-2.4676971","-2.3121796","-2.1748505","2"
"-2.2714844","-2.1243439","-1.8051605","2"
"-2.240387","-2.0968323","-0.8348694","2"
"-2.121933","-2.0202637","-0.6458435","2"
"-2.1183472","-1.6517639","-0.55371094","2"
"-2.10878","-1.6385956","-0.4472351","2"
"-1.6314087","-0.88127136","-0.32759094","2"
"-1.5560303","-0.72932434","-0.2593994","2"
"-1.3729858","-0.4051056","0.7587433","2"
"-1.3442688","-0.39193726","0.84368896","2"
"-1.2820587","-0.21128845","2.0030212","2"
"-1.2533417","-0.17060852","2.2207642","2"
"-1.188736","-0.14428711","2.4026184","2"
"-0.63479614","-0.13471985","2.9170685","3"
"-0.29382324","-0.13232422","3.703125","3"
"-0.1765747","-0.12992859","3.8849792","3"
"-0.12034607","-0.12992859","4.0907593","3"
"-0.10119629","-0.1287384","5.058655","3"
"-0.09642029","-0.12634277","5.162735","3"
"-0.08804321","-0.12634277","5.4738007","3"
"-0.038986206","-0.12634277","6.141403","3"
"-0.034194946","-0.12513733","6.37471","3"
"-0.01864624","-0.12155151","6.439316","3"
"-0.011474609","-0.12155151","6.66185","3"
"-0.011474609","-0.12036133","6.6977386","3"
"-0.010269165","-0.12036133","7.05188","3"
"-0.010269165","-0.119155884","7.0590515","3"
"-0.0090789795","-0.119155884","7.2145844","3"
"-0.005493164","-0.1179657","7.2612457","3"
"-0.005493164","-0.1179657","7.32106","3"
"-0.005493164","-0.116760254","7.676407","3"
"-0.0030975342","-0.11557007","8.000626","3"
"-7.02E-4","-0.11437988","9.000824","3"
"-7.02E-4","-0.11437988","9.185074","3"
"-7.02E-4","-0.11317444","9.203018","3"
"-7.02E-4","-0.11198425","9.466232","3"
"0.0016937256","-0.11077881","9.691162","3"
"0.0040893555","-0.11077881","9.740204","3"
"0.0040893555","-0.11077881","9.746185","3"
"0.005279541","-0.10839844","9.747391","3"
"0.005279541","-0.10600281","9.750977","3"
"0.005279541","-0.10360718","9.753372","3"
"0.005279541","-0.10241699","9.762939","3"
"0.0064849854","-0.09881592","9.762939","3"
"0.0064849854","-0.09643555","9.76413","3"
"0.0064849854","-0.0952301","9.770126","3"
"0.008865356","-0.08566284","9.770126","3"
"0.010070801","-0.08326721","9.771317","3"
"0.010070801","-0.06890869","9.771317","3"
"0.011260986","-0.06413269","9.772507","3"
"0.012466431","-0.055755615","9.772507","3"
"0.012466431","-0.04258728","9.773712","3"
"0.014846802","-0.03541565","9.773712","3"
"0.017242432","-0.027038574","9.774902","3"
"0.018447876","0.05671692","9.776108","3"
"0.019638062","0.6585083","9.776108","3"
"0.023223877","0.71832275","9.776108","4"
"0.023223877","0.9947052","9.777298","4"
"0.025619507","1.0401611","9.778488","4"
"0.026809692","1.072464","9.778488","4"
"0.028015137","1.1095581","9.783279","4"
"0.031600952","1.195694","9.783279","4"
"0.031600952","1.4182281","9.78447","4"
"0.033996582","1.4337769","9.78447","4"
"0.11894226","1.6395569","9.78447","4"
"0.69680786","1.6407623","9.788071","4"
"0.79252625","1.7651825","9.790451","4"
"0.87028503","2.2975922","9.7916565","4"
"1.1346893","2.4854279","9.792847","4"
"1.1705933","2.7749634","9.794052","4"
"1.2722778","2.8335876","9.795242","4"
"1.535492","2.8479462","9.795242","4"
"1.9458618","2.983139","9.795242","4"
"1.9542389","3.086029","9.795242","4"
"2.029602","3.0872192","9.797638","4"
"2.2042847","3.2080536","9.801224","5"
"2.2186432","3.5334778","9.807205","5"
"2.2282104","3.5418549","9.808411","5"
"2.571579","3.558609","9.809601","5"
"2.772583","3.5610046","9.816772","5"
"2.8288116","3.6100464","9.856262","5"
"3.1817474","3.6172333","9.934021","5"
"3.2475586","3.673462","10.113495","5"
"3.5323029","3.8194275","10.229538","5"
"3.8266144","3.8397675","10.489166","5"
"4.050354","4.2704773","10.511902","5"
"4.3937225","4.277649","10.629135","5"
"4.5899353","4.3326874","10.699738","5"
"5.0972137","4.3781433","10.9509735","5"
"5.358032","4.5480347","11.022766","5"
"5.8198395","4.54924","11.486969","5"
"6.0986023","4.54924","11.576706","5"
"6.2230377","4.638962","12.172516","5"
"7.811859","5.57576","12.398636","5"
"8.302399","6.6250153","12.484772","5"
"9.899597","6.760208","13.275604","5"
"11.283844","7.101181","13.571121","5"
"12.066299","7.227997","13.583084","5"
"12.812866","7.2507324","13.724258","5"
"13.826218","7.446945","13.746994","5"
"14.644577","9.356415","13.91568","5"
"15.64357","9.674667","18.14978","5"
"17.396317","10.787323","23.001236","5"
"23.81865","","23.715485","5"
